Ticker,Name,Sector
PDLB,PDL COMMUNITY BANCORP,financial-services
GDP,GOODRICH PETE CORP,energy
CBFV,CB FINANCIAL SERVICES INC,financial-services
GCBC,GREENE COUNTY BANCORP INC,financial-services
CIZN,CITIZENS HOLDING,financial-services
EPM,EVOLUTION PETROLEUM CORP,energy
PTSI,PAM TRANSPORTATION SERVICES INC,industrials
TARA,PROTARA THERAPEUTICS INC,healthcare
TELA,TELA BIO INC,healthcare
AVO,MISSION PRODUCE INC,consumer-defensive
NERV,MINERVA NEUROSCIENCES INC,healthcare
LJPC,LA JOLLA PHARMACEUTICAL,healthcare
RMNI,RIMINI STREET INC,technology
PROV,PROVIDENT FINANCIAL HOLDINGS INC,financial-services
GRTX,GALERA THERAPEUTICS INC,healthcare
NC,NACCO INDUSTRIES INC CLASS A,energy
TYME,TYME TECHNOLOGIES INC,healthcare
MLSS,MILESTONE SCIENTIFIC INC,healthcare
LQDA,LIQUIDIA CORP,healthcare
AXLA,AXCELLA HEALTH INC,healthcare
CDAK,CODIAK BIOSCIENCES,healthcare
CERC,CERECOR INC,healthcare
LARK,LANDMARK BANCORP INC,financial-services
WRAP,WRAP TECHNOLOGIES INC,technology
ARAV,ARAVIVE INC,healthcare
CMPI,CHECKMATE PHARMACEUTICALS INC,healthcare
ORGS,ORGENESIS INC,healthcare
RMTI,ROCKWELL MEDICAL INC,healthcare
NSCO,NESCO HOLDINGS INC CLASS A,industrials
CYCN,CYCLERION THERAPEUTICS INC,healthcare
SBT,STERLING BANCORP INC,financial-services
ELMD,ELECTROMED INC,healthcare
MBII,MARRONE BIO INNOVATIONS INC,basic-materials
CSBR,CHAMPIONS ONCOLOGY INC,healthcare
NH,NANTHEALTH INC,healthcare
OSMT,OSMOTICA PHARMACEUTICALS PLC,healthcare
MLP,MAUI LAND AND PINEAPPLE INC,real-estate
REV,REVLON INC CLASS A,consumer-defensive
AGFS,AGROFRESH SOLUTIONS INC,basic-materials
MHH,MASTECH DIGITAL INC,industrials
FNHC,FEDNAT HOLDING COMPANY,financial-services
PHAS,PHASEBIO PHARMACEUTICALS INC,healthcare
XAIR,BEYOND AIR INC,healthcare
REFR,RESEARCH FRONT INC,technology
CDTX,CIDARA THERAPEUTICS INC,healthcare
LMST,LIMESTONE BANCORP INC,financial-services
SVRA,SAVARA INC,healthcare
FARM,FARMER BROTHERS,consumer-defensive
SNFCA,SECURITY NATIONAL FINANCIAL CORP C,financial-services
LNSR,LENSAR INC,healthcare
PAVM,PAVMED INC,healthcare
ASUR,ASURE SOFTWARE INC,technology
SB,SAFE BULKERS INC,industrials
ASPS,ALTISOURCE PORTFOLIO SOLUTIONS SA,real-estate
REPH,RECRO PHARMA INC,healthcare
TH,TARGET HOSPITALITY CORP,consumer-cyclical
BSVN,BANK7 CORP,financial-services
GNLN,GREENLANE HOLDINGS INC CLASS A,consumer-cyclical
BSBK,BOGOTA FINANCIAL CORP,financial-services
AC,ASSOCIATED CAPITAL GROUP INC CLASS,financial-services
EXPR,EXPRESS INC,consumer-cyclical
KRUS,KURA SUSHI USA INC,consumer-cyclical
XGN,EXAGEN INC,healthcare
AE,ADAMS RESOURCES AND ENERGY INC,energy
KERN,AKERNA CORP,industrials
CLXT,CALYXT INC,healthcare
NEXT,NEXTDECADE CORP,energy
SOLY,SOLITON INC,healthcare
CTO,CTO REALTY GROWTH INC CASH ACCRUAL,real-estate
PCYG,PARK CITY GROUP INC,technology
